taz,polyno,pointno,xcoord,ycoord
663,1,1,-121.741854,36.965644
663,1,2,-121.74166000000001,36.965392
663,1,3,-121.73978000000001,36.964868
663,1,4,-121.733557,36.964636
663,1,5,-121.731392,36.961503
663,1,6,-121.73660600000001,36.958021
663,1,7,-121.73957,36.95491
663,1,8,-121.739722,36.954815
663,1,9,-121.740276,36.954698
663,1,10,-121.741104,36.954901
663,1,11,-121.741394,36.954892
663,1,12,-121.74197099999999,36.954607
663,1,13,-121.74224,36.954562
663,1,14,-121.74311599999999,36.954845
663,1,15,-121.745493,36.954941
663,1,16,-121.745474,36.955465999999994
663,1,17,-121.745622,36.956122
663,1,18,-121.74623999999999,36.957507
663,1,19,-121.74629399999999,36.957662
663,1,20,-121.74625900000001,36.957904
663,1,21,-121.746071,36.95863
663,1,22,-121.74581299999998,36.959308
663,1,23,-121.74574299999999,36.95971
663,1,24,-121.74531599999999,36.959989
663,1,25,-121.744722,36.960770000000004
663,1,26,-121.74448500000001,36.961177
663,1,27,-121.744298,36.961749
663,1,28,-121.74431799999999,36.961915000000005
663,1,29,-121.744597,36.962329
663,1,30,-121.74538899999999,36.963053
663,1,31,-121.74351999999999,36.964362
663,1,32,-121.741854,36.965644
691,1,1,-121.41187099999999,36.881890000000006
691,1,2,-121.411874,36.885828000000004
691,1,3,-121.405782,36.88564
691,1,4,-121.402285,36.881479
691,1,5,-121.41187099999999,36.881890000000006
759,1,1,-121.39894199999999,36.843503000000005
759,1,2,-121.39896,36.839614000000005
759,1,3,-121.40015600000001,36.839614000000005
759,1,4,-121.40014099999999,36.843503000000005
759,1,5,-121.39894199999999,36.843503000000005
736,1,1,-121.412498,36.854034999999996
736,1,2,-121.413271,36.854040999999995
736,1,3,-121.41327,36.855545
736,1,4,-121.413453,36.855926000000004
736,1,5,-121.414105,36.856615999999995
736,1,6,-121.414177,36.856932
736,1,7,-121.41416399999999,36.857237
736,1,8,-121.412501,36.857236
736,1,9,-121.412498,36.854034999999996
741,1,1,-121.40898700000001,36.855482
741,1,2,-121.41249199999999,36.85548
741,1,3,-121.412501,36.857236
741,1,4,-121.409227,36.857231
741,1,5,-121.40898700000001,36.855482
652,1,1,-121.745493,36.954941
652,1,2,-121.74311599999999,36.954845
652,1,3,-121.74224,36.954562
652,1,4,-121.74197099999999,36.954607
652,1,5,-121.741394,36.954892
652,1,6,-121.741104,36.954901
652,1,7,-121.740276,36.954698
652,1,8,-121.739722,36.954815
652,1,9,-121.73957,36.95491
652,1,10,-121.73660600000001,36.958021
652,1,11,-121.731392,36.961503
652,1,12,-121.730602,36.960399
652,1,13,-121.730092,36.958406
652,1,14,-121.727539,36.956134000000006
652,1,15,-121.72976000000001,36.953903000000004
652,1,16,-121.733829,36.949422999999996
652,1,17,-121.73571499999998,36.947232
652,1,18,-121.737719,36.944588
652,1,19,-121.73950500000001,36.942485
652,1,20,-121.74198700000001,36.939240000000005
652,1,21,-121.74264699999999,36.938291
652,1,22,-121.742975,36.93752
652,1,23,-121.743201,36.936642
652,1,24,-121.743277,36.935961999999996
652,1,25,-121.74439,36.936223999999996
652,1,26,-121.74446699999999,36.938179
652,1,27,-121.744584,36.938295000000004
652,1,28,-121.74517800000001,36.938333
652,1,29,-121.745319,36.938248
652,1,30,-121.745251,36.936428
652,1,31,-121.756592,36.939078
652,1,32,-121.757398,36.939125
652,1,33,-121.757951,36.939031
652,1,34,-121.75881100000001,36.938779
652,1,35,-121.75928400000001,36.938735
652,1,36,-121.75985800000001,36.938777
652,1,37,-121.76906000000001,36.940974
652,1,38,-121.76939899999999,36.941112
652,1,39,-121.76533700000002,36.948352
652,1,40,-121.76253799999999,36.948172
652,1,41,-121.76254499999999,36.951276
652,1,42,-121.764877,36.951359000000004
652,1,43,-121.764904,36.953866999999995
652,1,44,-121.761509,36.95375
652,1,45,-121.76149699999999,36.955276
652,1,46,-121.76101799999999,36.955225
652,1,47,-121.76056200000001,36.954926
652,1,48,-121.760424,36.955174
652,1,49,-121.760396,36.955631
652,1,50,-121.75781599999999,36.955462
652,1,51,-121.75681499999999,36.955523
652,1,52,-121.745493,36.954941
690,1,1,-121.402285,36.881479
690,1,2,-121.400342,36.881396
690,1,3,-121.40033500000001,36.874614
690,1,4,-121.40079399999999,36.869372999999996
690,1,5,-121.40606399999999,36.869512
690,1,6,-121.40893999999999,36.872878
690,1,7,-121.40996499999999,36.874592
690,1,8,-121.41242700000001,36.878085
690,1,9,-121.414075,36.880679
690,1,10,-121.415173,36.882052
690,1,11,-121.402285,36.881479
649,1,1,-121.741854,36.965644
649,1,2,-121.74351999999999,36.964362
649,1,3,-121.74538899999999,36.963053
649,1,4,-121.744597,36.962329
649,1,5,-121.74431799999999,36.961915000000005
649,1,6,-121.744298,36.961749
649,1,7,-121.74448500000001,36.961177
649,1,8,-121.744722,36.960770000000004
649,1,9,-121.74531599999999,36.959989
649,1,10,-121.74574299999999,36.95971
649,1,11,-121.74581299999998,36.959308
649,1,12,-121.746071,36.95863
649,1,13,-121.74625900000001,36.957904
649,1,14,-121.74629399999999,36.957662
649,1,15,-121.74623999999999,36.957507
649,1,16,-121.745622,36.956122
649,1,17,-121.745474,36.955465999999994
649,1,18,-121.745493,36.954941
649,1,19,-121.75681499999999,36.955523
649,1,20,-121.75781599999999,36.955462
649,1,21,-121.75913700000001,36.955585
649,1,22,-121.76247099999999,36.955705
649,1,23,-121.76245700000001,36.957512
649,1,24,-121.76053,36.957434
649,1,25,-121.760382,36.957505
649,1,26,-121.760369,36.958824
649,1,27,-121.76017399999999,36.959247
649,1,28,-121.760177,36.959658000000005
649,1,29,-121.76103300000001,36.959657
649,1,30,-121.76104,36.960365
649,1,31,-121.76114799999999,36.960467
649,1,32,-121.764945,36.960471999999996
649,1,33,-121.76496999999999,36.963882
649,1,34,-121.75531200000002,36.96394
649,1,35,-121.755371,36.973036
649,1,36,-121.75515800000001,36.973062
649,1,37,-121.75097,36.975541
649,1,38,-121.742834,36.976083
649,1,39,-121.742675,36.976075
649,1,40,-121.74232099999999,36.975815999999995
649,1,41,-121.74274199999999,36.974618
649,1,42,-121.74274299999999,36.974410999999996
649,1,43,-121.738573,36.97082
649,1,44,-121.74342,36.967211
649,1,45,-121.741854,36.965644
1080,1,1,-121.747707,36.895434
1080,1,2,-121.74807,36.895381
1080,1,3,-121.749016,36.895606
1080,1,4,-121.74945600000001,36.895964
1080,1,5,-121.74998000000001,36.896808
1080,1,6,-121.750487,36.899265
1080,1,7,-121.750729,36.900131
1080,1,8,-121.75093600000001,36.90061
1080,1,9,-121.75416100000001,36.902952
1080,1,10,-121.753592,36.903334
1080,1,11,-121.752376,36.903862
1080,1,12,-121.75175,36.904675
1080,1,13,-121.751081,36.905215999999996
1080,1,14,-121.75110900000001,36.905162
1080,1,15,-121.748571,36.902699
1080,1,16,-121.748421,36.902565
1080,1,17,-121.748318,36.902575
1080,1,18,-121.747707,36.895434
1081,1,1,-121.748318,36.902575
1081,1,2,-121.748421,36.902565
1081,1,3,-121.748571,36.902699
1081,1,4,-121.75110900000001,36.905162
1081,1,5,-121.75106000000001,36.905254
1081,1,6,-121.74829799999999,36.906791
1081,1,7,-121.74606999999999,36.909034999999996
1081,1,8,-121.745066,36.909353
1081,1,9,-121.74276,36.908984000000004
1081,1,10,-121.74010600000001,36.908437
1081,1,11,-121.73604499999999,36.908437
1081,1,12,-121.736182,36.904249
1081,1,13,-121.747253,36.904445
1081,1,14,-121.747271,36.904538
1081,1,15,-121.74736000000001,36.904546
1081,1,16,-121.747469,36.90445
1081,1,17,-121.748456,36.904472
1081,1,18,-121.748318,36.902575
1079,1,1,-121.75416100000001,36.902952
1079,1,2,-121.75093600000001,36.90061
1079,1,3,-121.750729,36.900131
1079,1,4,-121.750487,36.899265
1079,1,5,-121.74998000000001,36.896808
1079,1,6,-121.74945600000001,36.895964
1079,1,7,-121.749016,36.895606
1079,1,8,-121.74807,36.895381
1079,1,9,-121.747707,36.895434
1079,1,10,-121.747216,36.889633
1079,1,11,-121.747229,36.88678
1079,1,12,-121.746908,36.882422999999996
1079,1,13,-121.746986,36.881716
1079,1,14,-121.746775,36.881687
1079,1,15,-121.74678899999999,36.881525
1079,1,16,-121.74706299999998,36.881471000000005
1079,1,17,-121.74748100000001,36.880556
1079,1,18,-121.74813400000001,36.879635
1079,1,19,-121.74824,36.879678999999996
1079,1,20,-121.750001,36.878778000000004
1079,1,21,-121.75079699999999,36.878465999999996
1079,1,22,-121.750826,36.878358
1079,1,23,-121.7524,36.878032
1079,1,24,-121.753227,36.877762
1079,1,25,-121.754074,36.877392
1079,1,26,-121.75901,36.87471
1079,1,27,-121.768331,36.869869
1079,1,28,-121.768932,36.869732
1079,1,29,-121.770026,36.869801
1079,1,30,-121.77011499999999,36.87106
1079,1,31,-121.770229,36.871097
1079,1,32,-121.770757,36.87428
1079,1,33,-121.770656,36.874337
1079,1,34,-121.77163999999999,36.878819
1079,1,35,-121.772075,36.881081
1079,1,36,-121.77249199999999,36.883745000000005
1079,1,37,-121.771176,36.884344
1079,1,38,-121.7704,36.884772999999996
1079,1,39,-121.769372,36.885040000000004
1079,1,40,-121.769089,36.885172
1079,1,41,-121.76883799999999,36.885684999999995
1079,1,42,-121.767752,36.886269
1079,1,43,-121.76760800000001,36.886524
1079,1,44,-121.766625,36.887178999999996
1079,1,45,-121.76614199999999,36.887582
1079,1,46,-121.76563300000001,36.887838
1079,1,47,-121.765091,36.888019
1079,1,48,-121.76478200000001,36.888346999999996
1079,1,49,-121.764641,36.888853000000005
1079,1,50,-121.764395,36.890376
1079,1,51,-121.7642,36.8911
1079,1,52,-121.764003,36.891539
1079,1,53,-121.76333400000001,36.89217
1079,1,54,-121.76015100000001,36.894582
1079,1,55,-121.75940800000001,36.895728000000005
1079,1,56,-121.758582,36.897313
1079,1,57,-121.758172,36.898444
1079,1,58,-121.757425,36.899504
1079,1,59,-121.75416100000001,36.902952
1088,1,1,-121.64386299999998,36.89405
1088,1,2,-121.64335700000001,36.892057
1088,1,3,-121.64335600000001,36.891753
1088,1,4,-121.643744,36.891832
1088,1,5,-121.64994899999999,36.891078
1088,1,6,-121.65035400000001,36.890976
1088,1,7,-121.65063,36.890831
1088,1,8,-121.65074399999999,36.890879
1088,1,9,-121.651075,36.890834000000005
1088,1,10,-121.651746,36.887844
1088,1,11,-121.65166599999999,36.887778000000004
1088,1,12,-121.651776,36.887664
1088,1,13,-121.651927,36.887558
1088,1,14,-121.65206,36.887613
1088,1,15,-121.653893,36.88735
1088,1,16,-121.65500700000001,36.887018
1088,1,17,-121.65499399999999,36.886925
1088,1,18,-121.65583400000001,36.886631
1088,1,19,-121.656621,36.886099
1088,1,20,-121.657812,36.884817
1088,1,21,-121.657924,36.884847
1088,1,22,-121.65909599999999,36.883621000000005
1088,1,23,-121.65936,36.883278999999995
1088,1,24,-121.659302,36.883191
1088,1,25,-121.659847,36.882667
1088,1,26,-121.660521,36.88244
1088,1,27,-121.661827,36.882552000000004
1088,1,28,-121.662219,36.883654
1088,1,29,-121.662545,36.884169
1088,1,30,-121.662927,36.884613
1088,1,31,-121.66590500000001,36.887477000000004
1088,1,32,-121.675549,36.896026
1088,1,33,-121.67608200000001,36.896411
1088,1,34,-121.67603700000001,36.897096999999995
1088,1,35,-121.675974,36.897197999999996
1088,1,36,-121.67578300000001,36.905128000000005
1088,1,37,-121.67643899999999,36.905462
1088,1,38,-121.67383999999998,36.907948
1088,1,39,-121.672715,36.908605
1088,1,40,-121.67181799999999,36.909444
1088,1,41,-121.670351,36.909928
1088,1,42,-121.66944099999999,36.910038
1088,1,43,-121.66892,36.910247999999996
1088,1,44,-121.666199,36.912762
1088,1,45,-121.665674,36.912968
1088,1,46,-121.66426899999999,36.913089
1088,1,47,-121.663403,36.913738
1088,1,48,-121.66158300000001,36.914134000000004
1088,1,49,-121.660632,36.9145
1088,1,50,-121.656399,36.914107
1088,1,51,-121.654849,36.913185999999996
1088,1,52,-121.65288400000001,36.911896999999996
1088,1,53,-121.65169099999999,36.909925
1088,1,54,-121.651325,36.908551
1088,1,55,-121.65135500000001,36.907703999999995
1088,1,56,-121.65179499999999,36.906848
1088,1,57,-121.65220500000001,36.905742
1088,1,58,-121.652225,36.905095
1088,1,59,-121.652925,36.904175
1088,1,60,-121.652548,36.901978
1088,1,61,-121.651481,36.900844
1088,1,62,-121.650227,36.900358000000004
1088,1,63,-121.64934099999999,36.900411
1088,1,64,-121.64844099999999,36.901365999999996
1088,1,65,-121.647502,36.902617
1088,1,66,-121.646594,36.902778000000005
1088,1,67,-121.645847,36.902564
1088,1,68,-121.645397,36.901835999999996
1088,1,69,-121.64566299999998,36.901134000000006
1088,1,70,-121.64549699999999,36.899987
1088,1,71,-121.64531399999998,36.897414000000005
1088,1,72,-121.64588400000001,36.896377
1088,1,73,-121.64561100000002,36.894583000000004
1088,1,74,-121.64531299999999,36.89411
1088,1,75,-121.644823,36.893879
1088,1,76,-121.64441200000002,36.893836
1088,1,77,-121.64386299999998,36.89405
1084,1,1,-121.736182,36.904249
1084,1,2,-121.73604499999999,36.908437
1084,1,3,-121.734733,36.908727
1084,1,4,-121.73038600000001,36.910509000000005
1084,1,5,-121.72896499999999,36.911003
1084,1,6,-121.727916,36.911525
1084,1,7,-121.727424,36.912253
1084,1,8,-121.727319,36.913169
1084,1,9,-121.726927,36.914032
1084,1,10,-121.726203,36.914495
1084,1,11,-121.724681,36.914296
1084,1,12,-121.72357099999999,36.91375
1084,1,13,-121.722205,36.913215
1084,1,14,-121.720366,36.911438000000004
1084,1,15,-121.71913799999999,36.910742
1084,1,16,-121.71855,36.910548
1084,1,17,-121.718779,36.904072
1084,1,18,-121.71878600000001,36.900775
1084,1,19,-121.728311,36.898831
1084,1,20,-121.72905800000001,36.904205
1084,1,21,-121.736182,36.904249
710,1,1,-121.628183,36.911640000000006
710,1,2,-121.627772,36.911396
710,1,3,-121.627002,36.911331
710,1,4,-121.625037,36.910243
710,1,5,-121.623755,36.909952000000004
710,1,6,-121.62305500000001,36.909452
710,1,7,-121.62145500000001,36.908552
710,1,8,-121.6204,36.90875
710,1,9,-121.619619,36.908598
710,1,10,-121.61575500000001,36.904952
710,1,11,-121.607303,36.899456
710,1,12,-121.60906899999999,36.889651
710,1,13,-121.610267,36.883902
710,1,14,-121.61118700000002,36.882847
710,1,15,-121.611848,36.881789000000005
710,1,16,-121.612248,36.880827000000004
710,1,17,-121.61303799999999,36.877546
710,1,18,-121.613298,36.875507
710,1,19,-121.61328799999998,36.872159
710,1,20,-121.613496,36.867793
710,1,21,-121.620814,36.867562
710,1,22,-121.62158899999999,36.865548
710,1,23,-121.62178700000001,36.863647
710,1,24,-121.621729,36.862159000000005
710,1,25,-121.621757,36.860914
710,1,26,-121.62158500000001,36.859893
710,1,27,-121.62141399999999,36.859733
710,1,28,-121.6213,36.859459
710,1,29,-121.623066,36.85845
710,1,30,-121.62483200000001,36.858174
710,1,31,-121.625003,36.857853999999996
710,1,32,-121.62543000000001,36.857785
710,1,33,-121.626056,36.857956
710,1,34,-121.62663400000001,36.858328
710,1,35,-121.62918400000001,36.857384
710,1,36,-121.63005600000001,36.856953999999995
710,1,37,-121.638056,36.867754
710,1,38,-121.64245600000001,36.873554
710,1,39,-121.642246,36.874069
710,1,40,-121.64165600000001,36.875153000000005
710,1,41,-121.640643,36.879096000000004
710,1,42,-121.640856,36.879753
710,1,43,-121.641256,36.881853
710,1,44,-121.64165600000001,36.883453
710,1,45,-121.641756,36.884253
710,1,46,-121.64205600000001,36.885353
710,1,47,-121.642656,36.888553
710,1,48,-121.64335600000001,36.891753
710,1,49,-121.64335700000001,36.892057
710,1,50,-121.64383500000001,36.89398
710,1,51,-121.643728,36.893705
710,1,52,-121.64050300000001,36.893553000000004
710,1,53,-121.636146,36.901652
710,1,54,-121.63310600000001,36.906667
710,1,55,-121.63071000000001,36.909689
710,1,56,-121.62948899999999,36.91168
710,1,57,-121.62841599999999,36.911772
710,1,58,-121.628183,36.911640000000006
1085,1,1,-121.67643899999999,36.905462
1085,1,2,-121.67578300000001,36.905128000000005
1085,1,3,-121.675974,36.897197999999996
1085,1,4,-121.67603700000001,36.897096999999995
1085,1,5,-121.67608200000001,36.896411
1085,1,6,-121.675549,36.896026
1085,1,7,-121.673952,36.894609
1085,1,8,-121.67406899999999,36.894574
1085,1,9,-121.69051599999999,36.897815
1085,1,10,-121.7094,36.90137
1085,1,11,-121.71281699999999,36.901635
1085,1,12,-121.716146,36.901344
1085,1,13,-121.71878600000001,36.900775
1085,1,14,-121.718779,36.904072
1085,1,15,-121.71855,36.910548
1085,1,16,-121.71613300000001,36.909384
1085,1,17,-121.71485,36.908843
1085,1,18,-121.71403500000001,36.909068
1085,1,19,-121.71333899999999,36.909658
1085,1,20,-121.713321,36.910053999999995
1085,1,21,-121.712523,36.910767
1085,1,22,-121.709998,36.915305
1085,1,23,-121.706809,36.915128
1085,1,24,-121.702661,36.918155
1085,1,25,-121.69996200000001,36.91968
1085,1,26,-121.698476,36.918546
1085,1,27,-121.69846100000001,36.916739
1085,1,28,-121.70096299999999,36.913678999999995
1085,1,29,-121.706795,36.911196000000004
1085,1,30,-121.70553000000001,36.909501
1085,1,31,-121.702325,36.908175
1085,1,32,-121.699119,36.91109
1085,1,33,-121.69744399999999,36.911605
1085,1,34,-121.694701,36.910009
1085,1,35,-121.69376399999999,36.909828000000005
1085,1,36,-121.686302,36.907852
1085,1,37,-121.68046499999998,36.903159
1085,1,38,-121.67978400000001,36.903708
1085,1,39,-121.678956,36.903911
1085,1,40,-121.678249,36.904489
1085,1,41,-121.67743,36.904863
1085,1,42,-121.67643899999999,36.905462
658,1,1,-121.69991399999999,36.919776
658,1,2,-121.69677800000001,36.924042
658,1,3,-121.694907,36.923134999999995
658,1,4,-121.68766399999998,36.919401
658,1,5,-121.68357900000001,36.924649
658,1,6,-121.675326,36.92045
658,1,7,-121.675362,36.920403
658,1,8,-121.673822,36.919619
658,1,9,-121.67779399999999,36.914505
658,1,10,-121.67706299999999,36.914156
658,1,11,-121.677467,36.911228
658,1,12,-121.67573700000001,36.90785
658,1,13,-121.675455,36.906543
658,1,14,-121.676497,36.905508000000005
658,1,15,-121.67738200000001,36.904990000000005
658,1,16,-121.678234,36.904586
658,1,17,-121.67896100000002,36.904005
658,1,18,-121.679829,36.903803
658,1,19,-121.68046799999999,36.903267
658,1,20,-121.686247,36.907913
658,1,21,-121.69381100000001,36.909921000000004
658,1,22,-121.694616,36.910047
658,1,23,-121.697395,36.911688
658,1,24,-121.699148,36.911196000000004
658,1,25,-121.702275,36.908305
658,1,26,-121.705401,36.909542
658,1,27,-121.70663300000001,36.911146
658,1,28,-121.700846,36.91364
658,1,29,-121.69833500000001,36.916695000000004
658,1,30,-121.69836699999999,36.918576
658,1,31,-121.69991399999999,36.919776
714,1,1,-121.58144899999999,36.900554
714,1,2,-121.579949,36.899454
714,1,3,-121.575048,36.894155
714,1,4,-121.57115300000001,36.897452
714,1,5,-121.56936999999999,36.898187
714,1,6,-121.562743,36.89779
714,1,7,-121.562397,36.895677
714,1,8,-121.55896399999999,36.887568
714,1,9,-121.561573,36.88238
714,1,10,-121.562122,36.882655
714,1,11,-121.562397,36.882929
714,1,12,-121.56329699999999,36.883928999999995
714,1,13,-121.56376999999999,36.8846
714,1,14,-121.565693,36.8884
714,1,15,-121.56590700000001,36.889285
714,1,16,-121.566319,36.890055
714,1,17,-121.56679199999999,36.89078
714,1,18,-121.56761599999999,36.891551
714,1,19,-121.568165,36.891878999999996
714,1,20,-121.56988899999999,36.892428
714,1,21,-121.571522,36.892268
714,1,22,-121.574192,36.891878999999996
714,1,23,-121.575092,36.891985
714,1,24,-121.57845,36.892924
714,1,25,-121.57866399999999,36.893138
714,1,26,-121.580174,36.895509999999994
714,1,27,-121.58133400000001,36.896189
714,1,28,-121.583196,36.897890000000004
714,1,29,-121.584355,36.89866
714,1,30,-121.58463,36.898714
714,1,31,-121.58655300000001,36.899583
714,1,32,-121.58693400000001,36.900056
714,1,33,-121.58931499999998,36.900514
714,1,34,-121.59093200000001,36.900369
714,1,35,-121.594701,36.899805
714,1,36,-121.595601,36.899759
714,1,37,-121.59583,36.899957
714,1,38,-121.59705,36.900228999999996
714,1,39,-121.595808,36.900613
714,1,40,-121.591022,36.901294
714,1,41,-121.587107,36.901456
714,1,42,-121.582447,36.899782
714,1,43,-121.58229299999999,36.919154
714,1,44,-121.59099099999999,36.919222
714,1,45,-121.59099499999999,36.926147
714,1,46,-121.590354,36.926151000000004
714,1,47,-121.590154,36.919252
714,1,48,-121.581154,36.919252
714,1,49,-121.58144899999999,36.900554
661,1,1,-121.73206100000002,36.932399
661,1,2,-121.73151200000001,36.933054999999996
661,1,3,-121.72686999999999,36.937362
661,1,4,-121.717529,36.946256
661,1,5,-121.706708,36.938365000000005
661,1,6,-121.707209,36.938122
661,1,7,-121.70788200000001,36.937517
661,1,8,-121.70806599999999,36.936727000000005
661,1,9,-121.70915600000001,36.935546
661,1,10,-121.715962,36.927059
661,1,11,-121.72021399999998,36.927006
661,1,12,-121.72888999999999,36.926771
661,1,13,-121.729203,36.926654
661,1,14,-121.727682,36.923733
661,1,15,-121.72508400000001,36.925140999999996
661,1,16,-121.724346,36.921731
661,1,17,-121.72394399999999,36.919053999999996
661,1,18,-121.723773,36.918318
661,1,19,-121.728379,36.917478
661,1,20,-121.72953899999999,36.917331
661,1,21,-121.73190100000001,36.916806
661,1,22,-121.73281499999999,36.918844
661,1,23,-121.73276499999999,36.918892
661,1,24,-121.732932,36.918985
661,1,25,-121.732281,36.919917
661,1,26,-121.73206,36.920862
661,1,27,-121.731369,36.920965
661,1,28,-121.73135500000001,36.921977000000005
661,1,29,-121.73255400000001,36.923683000000004
661,1,30,-121.732153,36.925563000000004
661,1,31,-121.732782,36.926507
661,1,32,-121.73358,36.92736
661,1,33,-121.733329,36.927407
661,1,34,-121.733539,36.927731
661,1,35,-121.733645,36.928103
661,1,36,-121.73226000000001,36.932012
661,1,37,-121.73206100000002,36.932399
660,1,1,-121.732932,36.918985
660,1,2,-121.73276499999999,36.918892
660,1,3,-121.73281499999999,36.918844
660,1,4,-121.73190100000001,36.916806
660,1,5,-121.72953899999999,36.917331
660,1,6,-121.728379,36.917478
660,1,7,-121.723773,36.918318
660,1,8,-121.723348,36.915690999999995
660,1,9,-121.723262,36.915452
660,1,10,-121.723348,36.913765999999995
660,1,11,-121.72464199999999,36.91441
660,1,12,-121.726253,36.914587
660,1,13,-121.727011,36.914107
660,1,14,-121.727446,36.91322
660,1,15,-121.72748200000001,36.912263
660,1,16,-121.72794499999999,36.91158
660,1,17,-121.72901599999999,36.911027000000004
660,1,18,-121.730195,36.910647
660,1,19,-121.733378,36.909334
660,1,20,-121.735174,36.908741
660,1,21,-121.736011,36.908564
660,1,22,-121.738569,36.908527
660,1,23,-121.74078,36.908703
660,1,24,-121.74385,36.909403000000005
660,1,25,-121.7444,36.909431
660,1,26,-121.744197,36.909577
660,1,27,-121.744744,36.910053000000005
660,1,28,-121.745602,36.90943
660,1,29,-121.746241,36.910327
660,1,30,-121.74575,36.911133
660,1,31,-121.74523,36.911626
660,1,32,-121.745228,36.912345
660,1,33,-121.74483000000001,36.913409
660,1,34,-121.744157,36.913852
660,1,35,-121.744032,36.914287
660,1,36,-121.743109,36.915541999999995
660,1,37,-121.742272,36.916317
660,1,38,-121.74123200000001,36.916305
660,1,39,-121.74036000000001,36.916632
660,1,40,-121.74016,36.917085
660,1,41,-121.73995,36.917124
660,1,42,-121.73771699999999,36.91746
660,1,43,-121.735965,36.917453
660,1,44,-121.735374,36.917559000000004
660,1,45,-121.733856,36.91827
660,1,46,-121.732932,36.918985
1132,1,1,-121.667732,36.804521
1132,1,2,-121.66620900000001,36.805174
1132,1,3,-121.666109,36.805114
1132,1,4,-121.666028,36.805144
1132,1,5,-121.664751,36.805702000000004
1132,1,6,-121.66462,36.805807
1132,1,7,-121.66464199999999,36.805911
1132,1,8,-121.663868,36.806284999999995
1132,1,9,-121.663629,36.806449
1132,1,10,-121.66223500000001,36.807846999999995
1132,1,11,-121.66229399999999,36.807928000000004
1132,1,12,-121.66197199999999,36.808229
1132,1,13,-121.661491,36.808521
1132,1,14,-121.66139199999999,36.808468
1132,1,15,-121.66063700000001,36.808919
1132,1,16,-121.660372,36.809385
1132,1,17,-121.66046999999999,36.809447
1132,1,18,-121.660495,36.809703999999996
1132,1,19,-121.660855,36.810229
1132,1,20,-121.661351,36.811661
1132,1,21,-121.662001,36.812684000000004
1132,1,22,-121.66216499999999,36.813227000000005
1132,1,23,-121.66219199999999,36.813767999999996
